id,category,title,type,priority,published,published_date,filename
A-01,BigQuery×GA4,GA4のBigQueryエクスポート完全設定ガイド【2026年版】,tech,1,FALSE,,
A-02,BigQuery×GA4,BigQueryでGA4の生データ構造を理解する【eventsテーブル解説】,tech,2,FALSE,,
A-03,BigQuery×GA4,raw→staging→martの3層設計をGA4データで実装する,tech,1,TRUE,2026-03-28,ga4-bigquery-3layer-design.md
A-04,BigQuery×GA4,GA4×BigQueryでセッションIDを正しく定義する方法,tech,2,FALSE,,
A-05,BigQuery×GA4,BigQueryでGA4のサンプリングを回避して正確な数値を出す,tech,2,FALSE,,
A-06,BigQuery×GA4,GA4イベントパラメータをUNNESTで展開するSQLパターン集,tech,1,TRUE,2026-03-29,ga4-bigquery-unnest-sql-patterns.md
A-07,BigQuery×GA4,BigQueryでGA4の直帰率を正確に計算する方法（GA4に直帰率はない問題）,tech,2,FALSE,,
A-08,BigQuery×GA4,GA4×BigQueryでコンバージョン経路を分析するSQL,tech,2,FALSE,,
A-09,BigQuery×GA4,BigQueryでGA4データのコスト管理・クエリ最適化入門,tech,3,FALSE,,
A-10,BigQuery×GA4,GA4×BigQueryでデバイス別・地域別セグメント分析をする,tech,3,FALSE,,
A-11,BigQuery×GA4,BigQueryでGA4のページ別滞在時間を正しく集計する方法,tech,2,FALSE,,
A-12,BigQuery×GA4,GA4×BigQueryでユーザーのファーストタッチ・ラストタッチを取得する,tech,2,FALSE,,
A-13,BigQuery×GA4,BigQueryでGA4のeコマースイベントを完全解析する【purchase/add_to_cart】,tech,1,FALSE,,
A-14,BigQuery×GA4,GA4×BigQueryでリピーターと新規ユーザーを分離して分析する,tech,2,FALSE,,
A-15,BigQuery×GA4,BigQueryのパーティション・クラスタリングでGA4クエリを高速化する,tech,3,FALSE,,
A-16,BigQuery×GA4,GA4×BigQueryでカスタムディメンションを活用した分析,tech,3,FALSE,,
A-17,BigQuery×GA4,BigQueryでGA4データをdbtで管理する入門,tech,3,FALSE,,
A-18,BigQuery×GA4,GA4×BigQueryのエクスポートが止まったときのトラブルシューティング,tech,2,FALSE,,
A-19,BigQuery×GA4,BigQueryでGA4の日次・週次・月次集計テーブルをスケジュール実行する,tech,2,FALSE,,
A-20,BigQuery×GA4,GA4×BigQueryでSearch Consoleデータを結合してオーガニック分析する,tech,2,FALSE,,
B-01,ClaudeCode×自動化,Claude Code × BigQuery MCPでGA4分析を完全自動化する方法,tech,1,TRUE,2026-03-28,claude-code-bigquery-mcp-ga4.md
B-02,ClaudeCode×自動化,Claude CodeでBigQueryのSQLを自然言語から自動生成する,tech,1,FALSE,,
B-03,ClaudeCode×自動化,Claude Code × MCPでGA4レポートを毎朝Slack通知する仕組みを作った,tech,1,FALSE,,
B-04,ClaudeCode×自動化,Claude CodeのAgentモードでEC売上データを自動分析させた結果,tech,2,FALSE,,
B-05,ClaudeCode×自動化,BigQuery × Claude Codeで異常検知アラートを作る【売上急落を即通知】,tech,1,FALSE,,
B-06,ClaudeCode×自動化,Claude Codeで複数広告媒体のROASを一括比較するスクリプトを作成した,tech,2,FALSE,,
B-07,ClaudeCode×自動化,Claude Code × Google Sheets APIでBigQueryレポートを自動更新する,tech,2,FALSE,,
B-08,ClaudeCode×自動化,Claude Codeに週次レポートをMarkdownで生成させてそのままZennに投稿する,tech,2,FALSE,,
B-09,ClaudeCode×自動化,MCP × BigQuery × Claude Codeで聞くだけで分析できる社内ツールを作った,tech,1,FALSE,,
B-10,ClaudeCode×自動化,Claude CodeでEC×GA4のA/Bテスト結果をBigQueryから自動集計する,tech,2,FALSE,,
B-11,ClaudeCode×自動化,Claude CodeでGA4のイベント設計書を自動生成する方法,tech,2,FALSE,,
B-12,ClaudeCode×自動化,Claude Code × Python × BigQueryでLTV予測モデルを作った,tech,3,FALSE,,
B-13,ClaudeCode×自動化,Claude Codeに競合サイトの施策をGA4データから推測させた話,tech,2,FALSE,,
B-14,ClaudeCode×自動化,BigQuery × Claude Codeで月次事業報告書を自動作成する仕組み,tech,2,FALSE,,
